,source,target,oneway,lanes,bridge,frequency,highway,num of detections,width,osmid,geometry,ref,service,maxspeed,length,access,name,tunnel,log_date
0,304661508,699940277,True,,,0.5,residential,1,,158951264,,,,,44.769,,Carrer de Robert Graves,,"03/11/2020, 19:57:46"
1,304661508,560055794,False,,,0.5,residential,1,,158951270,,,,,70.731,,Carrer d'Anglaterra,,"03/11/2020, 19:57:46"
2,304661509,699940295,False,,,0.5,steps,1,,32725206,,,,,55.165,,Carrer de Menéndez Pelayo,,"03/11/2020, 19:57:46"
3,304661509,699940325,True,,,0.5,residential,1,,158951264,,,,,115.02,,Carrer de Robert Graves,,"03/11/2020, 19:57:46"
4,304661510,368237430,True,,,1.0,residential,1,,158951264,,,,,35.657,,Carrer de Robert Graves,,"03/11/2020, 19:57:46"
5,302770185,6370993512,False,,,0.3333333333333333,tertiary,1,,34176488,,Ma-1046,,40,27.733,,Carrer de Francesc Vidal Sureda,,"03/11/2020, 19:57:46"
6,302770185,700015716,False,,,0.3333333333333333,tertiary,1,,34176488,,Ma-1046,,40,15.799,,Carrer de Francesc Vidal Sureda,,"03/11/2020, 19:57:46"
7,302770185,700015725,False,,,0.3333333333333333,"['steps', 'residential']",1,,"[55702233, 55702247]","LINESTRING (2.6149201 39.5580067, 2.6142689 39.5584694, 2.6140847 39.5585311)",,,,93.136,,Carrer Santuari,,"03/11/2020, 19:57:46"
8,302770186,302770188,False,,,0.3333333333333333,tertiary,1,,34176488,,Ma-1046,,40,72.779,,Carrer de Francesc Vidal Sureda,,"03/11/2020, 19:57:46"
9,302770186,700015898,False,,,0.3333333333333333,tertiary,1,,34176488,,Ma-1046,,40,10.75,,Carrer de Francesc Vidal Sureda,,"03/11/2020, 19:57:46"
